epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6567.53,0.73703,0.40341,1.36271,0.96614,0.92667,0.95072,0.73632,0.90808,0.49515,1.39743,9.6657e-05,9.6657e-05,9.6657e-05
85,6644.27,0.734,0.39837,1.35234,0.9676,0.92467,0.94968,0.73765,0.90906,0.49913,1.3942,8.4436e-05,8.4436e-05,8.4436e-05
86,6719.75,0.72765,0.38924,1.35173,0.96648,0.92669,0.95197,0.73862,0.90653,0.49367,1.39173,7.2215e-05,7.2215e-05,7.2215e-05
87,6795.2,0.72564,0.38653,1.34429,0.96933,0.92687,0.94958,0.73556,0.90788,0.49688,1.39556,5.9994e-05,5.9994e-05,5.9994e-05
88,6870.78,0.72914,0.38323,1.34398,0.96958,0.9261,0.94904,0.73775,0.90459,0.49318,1.39227,4.7773e-05,4.7773e-05,4.7773e-05
89,6946.46,0.71952,0.38296,1.34515,0.96959,0.92339,0.95027,0.73891,0.90389,0.48921,1.39016,3.5552e-05,3.5552e-05,3.5552e-05
90,7021.75,0.72024,0.37939,1.33774,0.97067,0.92544,0.95035,0.74003,0.90443,0.48668,1.39111,2.3331e-05,2.3331e-05,2.3331e-05
91,7099.707021348315,0.7058352,0.37180219999999997,1.3109852,0.9803767,0.9346944,0.9598535,0.7474303,0.8863414,0.4769464,1.3632878,2.309769e-05,2.309769e-05,2.309769e-05
92,7177.66404269663,0.691718496,0.364366156,1.284765496,0.9901804670000001,0.9440413440000001,0.969452035,0.754904603,0.868614572,0.467407472,1.3360220440000001,2.309769e-05,2.309769e-05,2.309769e-05
93,7255.6210640449435,0.6778841260799999,0.35707883288,1.2590701860799998,1.00008227167,0.95348175744,0.97914655535,0.7624536490299999,0.8512422805599998,0.45805932256,1.30930160312,2.309769e-05,2.309769e-05,2.309769e-05
94,7333.578085393258,0.6643264435583999,0.34993725622239996,1.2338887823583997,1.0100830943867,0.9630165750144001,0.9889380209035,0.7700781855202999,0.8342174349487999,0.4488981361087999,1.2831155710575999,2.309769e-05,2.309769e-05,2.309769e-05
95,7411.535106741573,0.651039914687232,0.342938511097952,1.2092110067112318,1.020183925330567,0.9726467407645439,0.998827401112535,0.7777789673755029,0.8175330862498239,0.439920173386624,1.257453259636448,2.309769e-05,2.309769e-05,2.309769e-05
96,7489.492128089888,0.6380191163934873,0.3360797408759929,1.1850267865770072,1.0303857645838725,0.9823732081721894,1.0088156751236603,0.785556757049258,0.8011824245248274,0.43112176991889145,1.232304194443719,2.309769e-05,2.309769e-05,2.309769e-05
97,7567.449149438202,0.6252587340656175,0.329358146058473,1.161326250845467,1.0406896222297115,0.9921969402539115,1.018903831874897,0.7934123246197506,0.7851587760343308,0.4224993345205136,1.2076581105548445,2.309769e-05,2.309769e-05,2.309769e-05
98,7645.406170786517,0.6127535593843051,0.32277098313730357,1.1380997258285575,1.0510965184520085,1.0021189096564505,1.029092870193646,0.801346447865948,0.7694556005136441,0.41404934783010333,1.1835049483437474,2.309769e-05,2.309769e-05,2.309769e-05
